year,u5mr
1953,268.1970213
1954,264.1832237
1955,260.0257141
1956,256.0261906
1957,252.2028632
1958,248.4062278
1959,244.7916816
1960,241.3475909
1961,238.0557805
1962,235.0103113
1963,232.1901406
1964,229.5838637
1965,226.9615205
1966,224.4802429
1967,222.1159838
1968,219.7418227
1969,217.0748689
1970,214.3827224
1971,211.4433217
1972,208.1711312
1973,204.5163123
1974,200.5500854
1975,196.0849399
1976,191.2939255
1977,186.1211961
1978,180.709154
1979,175.2206042
1980,169.8099056
1981,164.639316
1982,159.7847111
1983,155.2382735
1984,150.9753975
1985,146.8468134
1986,142.8377426
1987,138.8176359
1988,134.8075773
1989,130.8515439
1990,127.042248
1991,123.3864727
1992,119.8717001
1993,116.462077
1994,113.1096402
1995,109.7002957
1996,106.2156807
1997,102.6714642
1998,99.06784505
1999,95.42715759
2000,91.78218989
2001,88.13956697
2002,84.58866685
2003,81.10769249
2004,77.69325467
2005,74.34689639
2006,71.03045272
2007,67.75165763
2008,64.4762509
2009,61.24943641
2010,58.06652234
2011,54.96544156
2012,51.97874061
2013,49.0943896
2014,46.35069897
2015,43.74444261
2016,41.30280325
2017,39.01631316
2018,36.86980608
2019,34.86083565
2020,32.97701042
2021,31.19201109
2022,29.5332771
2023,27.99358917
2024,26.5799003
