REF_AREA,Geographic area,INDICATOR,Indicator,SEX,Sex,WEALTH_QUINTILE,Wealth Quintile,SERIES_NAME,Series Name,SERIES_YEAR,Series Year,REGIONAL_GROUP,Regional group,TIME_PERIOD,OBS_VALUE,COUNTRY_NOTES,CONNECTION,DEATH_CATEGORY,CATEGORY,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,SERIES_CATEGORY,Series Category,SERIES_TYPE,Series Type,STD_ERR,REF_DATE,AGE_GROUP_OF_WOMEN,Age Group of Women,TIME_SINCE_FIRST_BIRTH,Time Since First Birth,DEFINITION,INTERVAL,SERIES_METHOD,Series Method,LOWER_BOUND,UPPER_BOUND,STATUS,YEAR_TO_ACHIEVE,MODEL,Model Used
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1953-06,268.1970213,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1953.5,,,,,,1,,,225.8630626,317.3127096,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1954-06,264.1832237,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1954.5,,,,,,1,,,225.8017582,306.8059744,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1955-06,260.0257141,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1955.5,,,,,,1,,,225.8251859,297.6750443,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1956-06,256.0261906,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1956.5,,,,,,1,,,225.5029516,289.2357665,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1957-06,252.2028632,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1957.5,,,,,,1,,,224.5575122,281.4925722,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1958-06,248.4062278,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1958.5,,,,,,1,,,223.5675782,274.8168961,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1959-06,244.7916816,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1959.5,,,,,,1,,,222.0270722,268.614755,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1960-06,241.3475909,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1960.5,,,,,,1,,,220.1489612,263.3854604,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1961-06,238.0557805,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1961.5,,,,,,1,,,218.0512136,258.8385098,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1962-06,235.0103113,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1962.5,,,,,,1,,,216.2938114,254.3053256,,,B3,B3
